epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.27283,1.13488,3.78687,1.39546,0.00802,0.19417,0.00681,0.00483,0.66055,3.56235,0.95442,1.429e-05,1.429e-05,1.429e-05
2,9.65427,1.00092,3.91173,1.20151,0.00803,0.16505,0.00717,0.00555,0.66154,3.56386,0.95342,4.14553e-05,4.14553e-05,4.14553e-05
3,10.7599,0.98977,3.71941,1.25382,0.00965,0.17476,0.0106,0.00787,0.66855,3.54461,0.96428,6.67343e-05,6.67343e-05,6.67343e-05
4,11.867,0.77516,3.61772,1.06351,0.01086,0.16505,0.01597,0.01242,0.66508,3.50877,0.96436,9.0127e-05,9.0127e-05,9.0127e-05
5,13.0153,0.75699,3.31012,1.00175,0.01414,0.17476,0.05111,0.0434,0.65893,3.47596,0.9505,0.000111633,0.000111633,0.000111633
6,14.2062,0.92163,3.27841,1.04675,0.0258,0.29126,0.10448,0.08338,0.71279,3.41152,0.95,0.000131254,0.000131254,0.000131254
7,15.4228,0.8103,3.12816,0.96359,0.02987,0.42718,0.18172,0.13535,0.74683,3.30888,0.92363,0.000148988,0.000148988,0.000148988
8,16.5945,0.71898,2.66913,0.92192,0.03262,0.51456,0.26268,0.19244,0.75061,3.21934,0.91249,0.000164835,0.000164835,0.000164835
9,17.7244,0.76693,2.75751,0.88426,0.03195,0.51456,0.28654,0.223,0.72465,3.17822,0.9052,0.000178796,0.000178796,0.000178796
10,18.9076,0.79307,2.4244,0.9443,0.03341,0.54369,0.33589,0.2744,0.69842,3.1272,0.90152,0.000190872,0.000190872,0.000190872
11,20.0185,0.85161,2.28663,1.04319,0.03369,0.58252,0.39931,0.32539,0.69504,3.07758,0.89065,0.00020106,0.00020106,0.00020106
12,21.1495,0.76814,2.1284,0.94642,0.03258,0.57282,0.45639,0.38047,0.67785,3.04226,0.87926,0.000209363,0.000209363,0.000209363
13,22.2686,0.83001,1.92942,1.00236,0.03354,0.62136,0.48611,0.41406,0.65926,3.03468,0.88604,0.000215779,0.000215779,0.000215779
14,23.3919,0.68297,1.88045,0.90564,0.03162,0.62136,0.50817,0.44698,0.63575,3.02613,0.87793,0.000220309,0.000220309,0.000220309
15,24.4986,0.72882,1.87493,0.94495,0.03201,0.64078,0.52262,0.45319,0.64331,3.03463,0.88139,0.000222953,0.000222953,0.000222953
16,25.5883,0.81975,1.77463,0.99637,0.0282,0.59223,0.45908,0.40025,0.63686,3.07178,0.88428,0.00022371,0.00022371,0.00022371
17,26.6834,0.90071,1.93356,0.99435,0.02521,0.56311,0.43226,0.38221,0.65122,3.11891,0.89801,0.000222581,0.000222581,0.000222581
18,27.7986,0.7953,1.68534,0.96658,0.02602,0.56311,0.41639,0.36286,0.66589,3.14602,0.90884,0.000219566,0.000219566,0.000219566
19,28.9355,0.79179,1.63493,0.93934,0.02099,0.47573,0.39369,0.33765,0.67741,3.18165,0.9221,0.000214664,0.000214664,0.000214664
20,30.0838,0.81714,1.61417,0.95894,0.02164,0.46602,0.37843,0.31743,0.64289,3.21159,0.92432,0.000207877,0.000207877,0.000207877
21,78.2552,0.6817,1.60016,0.89101,0.02245,0.46602,0.3838,0.32005,0.60749,3.19246,0.91072,0.000199203,0.000199203,0.000199203
22,79.9708,0.6548,1.41675,0.87728,0.02235,0.43689,0.38335,0.31192,0.5991,3.18133,0.90348,0.000188642,0.000188642,0.000188642
23,81.2849,0.6349,1.54482,0.88213,0.02292,0.4466,0.36758,0.30566,0.60277,3.18723,0.90034,0.000176196,0.000176196,0.000176196
24,82.6458,0.65821,1.44419,0.8881,0.02524,0.46602,0.38428,0.30927,0.60509,3.15795,0.89749,0.000161863,0.000161863,0.000161863
25,83.9324,0.6741,1.3323,0.90768,0.0265,0.47573,0.40012,0.31985,0.62153,3.13036,0.89825,0.000145644,0.000145644,0.000145644
26,85.2495,0.65351,1.28536,0.91488,0.03122,0.54369,0.45357,0.37439,0.60463,3.05966,0.88427,0.000127538,0.000127538,0.000127538
27,86.5842,0.64727,1.32293,0.88314,0.6755,0.51456,0.5429,0.46263,0.59255,2.95124,0.86999,0.000107547,0.000107547,0.000107547
28,87.8363,0.56349,1.18709,0.86387,0.6755,0.51456,0.5429,0.46263,0.59255,2.95124,0.86999,8.56685e-05,8.56685e-05,8.56685e-05
29,89.1853,0.62651,1.24755,0.92505,0.04214,0.6699,0.59339,0.51105,0.57669,2.85733,0.86421,6.19043e-05,6.19043e-05,6.19043e-05
30,90.4827,0.65029,1.49413,0.88436,0.04734,0.73786,0.66369,0.58158,0.56948,2.75861,0.86235,3.62537e-05,3.62537e-05,3.62537e-05
